CellName,Stream,TcpErr,TcpQoc,TcpDelay,HttpDelay
长沙铁道学院(梅岭苑)HL-D3900459408TF,91465043,1514,16.55,187.64,191.48
长沙德智园公寓3(德智园6栋拉远)ZL-B8300459870TF,458769048,8975,19.56,140.51,190.83
长沙纺织品公司HL-D3900460023PT,242056638,4417,18.24,173.08,247.73
长沙铁道学院HL-D3900460060PT,430970880,8155,18.92,166.94,382.65
长沙铁道学院地下室HL-D3900460201PT,354945417,9452,26.62,158.38,204.97
长沙中南大学附属铁道小学(长沙纺织品公司拉远)HL-D3900460787PT,32193869,783,24.32,125.96,198.83
长沙铁道学院梅岭餐厅(长沙铁道学院拉远)HL-D3900461194PT,195259259,4979,25.49,165.54,352.71
长沙中南大学外语楼景观塔(五星消防中队拉远)ZL-B8300462091PT,2590873179,71139,27.45,128.02,210.75
长沙中南工大升华大楼ZL-B8300462301PT,257665032,8799,34.14,122.95,229.45
长沙矿冶研究院ZL-B8300462325PT,791578802,11273,14.24,128.24,245.10
长沙中南大学新校区ZL-B8300462344PT,741567565,15327,20.66,119.73,209.43
长沙靳江路中(冯家老屋拉远)ZL-B8300462394PT,125579509,2919,23.24,101.83,223.81
长沙西二环与靳江路交叉口(五星消防中队拉远)ZL-B8300462457PT,154866151,2384,15.39,113.93,191.65
长沙左家垅王家湾组ZL-B8300462473PT,324636815,3755,11.56,134.07,243.34
长沙靳江路与后湖路交叉口(升华公寓19栋拉远)ZL-B8300462573PT,176646170,3125,17.69,118.93,190.58
长沙潇湘大道与丰顺路交叉口(黄鹤村4片6栋拉远)ZL-B8300462635PT,242314937,8459,34.90,127.66,172.58
长沙高泥塘(高泥塘拉远)ZL-B8300462688PT,53367642,932,17.46,114.97,202.65
长沙市十九中(师大艺术学院女生宿舍拉远)ZL-B8300471122PT,11619957,457,39.32,168.22,279.80
长沙铁道学院宿舍1-3栋(铁道学院地下室拉远)HL-D3900473384TF,435032092,10000,22.98,141.28,163.76
长沙市岳麓区中南大学新校区2ZL-B8300473691TF,1116593685,41984,37.60,124.32,205.91
长沙岳麓区中南大学南校区(鸿业楼无线机房拉远)ZL-B8300473758TF,712493722,16572,23.25,166.39,310.02
长沙中南大学升华公寓1(工大升华公寓5栋拉远)ZL-B8300473826TF,4366763396,89063,20.39,121.26,235.76
长沙岳麓区悦购广场ZL-B8300473846TF,144190973,2927,20.29,119.46,232.45
长沙工大新校区外语楼(黄鹤村五组拉远)ZL-B8300473935TF,6849329,96,14.01,73.088,125.67
长沙市岳麓区麓南商业广场ZL-B8300473953TF,43634114,723,16.56,170.75,414.29
长沙中南工大马克思学院(工大南院鸿业楼拉远)ZL-B8300474091PT,245385187,10976,44.72,125.49,191.89
长沙中南大学升华公寓19栋ZL-B8300474216PT,397213376,9368,23.58,121.16,175.85
长沙中南大学本部能源楼(工大升华大楼拉远)ZL-B8300474246PT,81059316,952,11.74,133.93,386.46
长沙工大三办公楼(中南工大升华大楼拉远)ZL-B8300474321PT,64569974,946,14.65,149.60,308.59
长沙清水路(后湖小区拉远)ZL-B8300474401PT,18019087,1556,86.35,93.345,151.26
长沙清水路中ZL-B8300474455PT,406770912,13614,33.46,112.12,199.81
长沙德智园食堂ZL-B8300474496PT,631165576,15863,25.13,143.31,212.90
长沙燕舟艺术学校a(师大南院拉远)ZL-B8300474578PT,305117376,8971,29.40,141.80,212.61
长沙西二环与丰顺路交叉口ZL-B8300474912PT,927171817,9895,10.67,134.50,262.65
长沙宇庭商务酒店(郑家湾小区拉远)ZL-B8300475079PT,161774294,3938,24.34,149.66,217.62
长沙师大树达学院学生宿舍6栋(树达学院拉远)ZL-B8300475121PT,219105942,3509,16.01,121.07,168.70
长沙中南大学本部桃花公寓C栋(升华大楼拉远)ZL-B8300983162PT,464816937,10780,23.19,110.22,402.17
长沙中南大学新校区北门ZL-B8300983529PT,200391240,6020,30.04,137.21,175.87
长沙靳江安置小区10栋ZL-B8300983723PT,215939459,2852,13.20,178.15,588.97
长沙中南大学轻合金ZL-B8300984505PT,18696323,704,37.65,143.66,243.18
长沙树达学院门口ZL-B8300984738PT,107696582,1249,11.59,106.03,202.22
长沙岳麓区矿冶研究院ZL-B8300985270TF,582483,3,5.150,86.095,151.76
长沙君庭会中餐厅(水云间拉远)HL-D3900985510TF,3338655,173,51.81,109.76,130.97
长沙岳麓区万科金域缇香ZL-B8300985961TF,199074563,18787,94.37,171.61,354.24
长沙中南大学本部扩容(升华大楼拉远)ZL-B8300986023TF,99560860,3339,33.53,158.03,300.77
