结束时间,流量,Tcp重连次数,Tcp质量,"Tcp延迟 ",Http延迟
00:10:00,725933,86,118.4,101.61,152.40
00:26:40,3846992,78,20.27,195.32,193.84
00:43:20,7896453,52,6.585,88.697,176.79
01:00:00,385483,7,18.15,62.684,79.326
01:16:40,28733,8,278.4,62.545,91.545
01:33:20,28885,24,830.8,14.692,20.615
01:50:00,90484,25,276.2,44.128,65.974
02:06:40,35018,34,970.9,33,39.25
02:23:20,87052,48,551.3,78.529,49.431
02:40:00,92427,38,411.1,33.041,47.166
02:56:40,23920,37,1546.,31.45,42.8
03:13:20,41270,41,993.4,36.733,51.8
03:30:00,35684,48,1345.,31.727,54.545
03:46:40,126065,46,364.8,45.361,68.194
04:03:20,55380,55,993.1,37.909,54.303
04:20:00,27738,36,1297.,57.55,88.5
04:36:40,29645,15,505.9,55.047,80
04:53:20,25095,26,1036.,52.1,75
05:10:00,33525,18,536.9,63.227,95.5
05:26:40,34307,14,408.0,64.444,106.44
05:43:20,43222,25,578.4,33.909,48.772
06:00:00,47025,9,191.3,56.04,79.28
06:16:40,129245,16,123.7,105.28,166.35
06:33:20,50742,7,137.9,61.233,86.4
06:50:00,9611,0,0,95,141.2
07:06:40,132196,1,7.564,178.81,305.77
07:23:20,177444,3,16.90,112.4,174.51
07:40:00,14924742,85,5.695,88.908,201.75
07:56:40,7000878,210,29.99,87.359,150.32
08:13:20,19686958,1281,65.06,132.63,202.11
08:30:00,132815650,8027,60.43,160.33,377.42
08:46:40,24214619,1693,69.91,121.69,223.56
09:03:20,4929017,54,10.95,86.147,141.47
09:20:00,25942537,109,4.201,79.057,112.72
09:36:40,31324770,148,4.724,119.04,156.23
09:53:20,18072722,162,8.963,130.28,118.88
10:10:00,21245202,677,31.86,113.93,203.61
10:26:40,7253186,114,15.71,204.11,164.48
10:43:20,17107562,156,9.118,121.83,194.36
11:00:00,17939004,341,19.00,172.80,209.48
11:16:40,15265367,617,40.41,112.46,163.34
11:33:20,27898057,527,18.89,106.66,167.18
11:50:00,27072433,701,25.89,136.54,207.83
12:06:40,38604171,990,25.64,129.13,224.58
12:23:20,29184881,1460,50.02,142.90,225.20
12:40:00,39659125,1297,32.70,140.33,269.93
12:56:40,46854731,766,16.34,102.54,168.36
13:13:20,8359333,327,39.11,171.28,212.04
13:30:00,9627828,359,37.28,114.47,142.45
13:46:40,26942088,1749,64.91,118.48,188.40
14:03:20,20722227,255,12.30,117.50,186.92
14:20:00,17958060,350,19.48,128.84,200.78
14:36:40,45398631,884,19.47,113.24,185.48
14:53:20,36204056,1414,39.05,111.41,152.33
15:10:00,39123758,951,24.30,89.257,147.84
15:26:40,83574753,4792,57.33,111.45,205.20
15:43:20,42977641,777,18.07,110.15,185.04
16:00:00,48046194,1560,32.46,210.57,179.28
16:16:40,61783681,1172,18.96,126.46,208.70
16:33:20,51732038,1417,27.39,110.35,198.32
16:50:00,50105609,1165,23.25,119.31,204.10
17:06:40,59984855,675,11.25,115.31,187.81
17:23:20,35881045,1918,53.45,108.20,166.39
17:40:00,29981638,596,19.87,116.45,206.21
17:56:40,28522954,761,26.68,139.33,234.20
18:13:20,37515599,960,25.58,131.55,232.74
18:30:00,30860398,569,18.43,95.652,166.83
18:46:40,30309455,531,17.51,138.99,227.10
19:03:20,20566660,419,20.37,182.49,235.20
19:20:00,147334982,8560,58.09,106.50,239.60
19:36:40,29317383,931,31.75,108.92,191.64
19:53:20,30978744,750,24.21,119.59,164.15
20:10:00,6381390,279,43.72,124.45,171.72
