结束时间,流量,Tcp重连次数,Tcp质量,"Tcp延迟 ",Http延迟
00:10:00,5261817,106,20.14,207.54,270.72
00:26:40,17337939,1392,80.28,220.06,352.63
00:43:20,67554007,1576,23.32,178.37,344.59
01:00:00,11361579,531,46.73,159.70,218.61
01:16:40,8679181,477,54.95,104.22,161.67
01:33:20,11235782,35,3.115,225.09,125.04
01:50:00,10048763,81,8.060,105.72,174.54
02:06:40,9520954,131,13.75,108.47,140.87
02:23:20,8134515,161,19.79,121.84,146.21
02:40:00,6296814,138,21.91,84.252,101.47
02:56:40,3078466,0,0,195.36,182.72
03:13:20,559976,23,41.07,277.81,102.46
03:30:00,251716,2,7.945,88.292,122.93
03:46:40,3940327,5,1.268,159.75,143.65
04:03:20,143576,14,97.50,62.409,73.590
04:20:00,115563,8,69.22,136.55,90.277
04:36:40,266607,4,15.00,94.434,128.23
04:53:20,88128,5,56.73,77.875,99.687
05:10:00,3026080,76,25.11,241.25,153.44
05:26:40,518550,2,3.856,86.416,140.26
05:43:20,960485,8,8.329,184.25,141.28
06:00:00,2183097,93,42.60,167.86,150.03
06:16:40,640396,6,9.369,112.28,138.69
06:33:20,292804,8,27.32,88.458,93.805
06:50:00,422966,16,37.82,93.658,169.04
07:06:40,2049683,53,25.85,80.867,114.62
07:23:20,2601264,12,4.613,163.50,143.94
07:40:00,9807271,189,19.27,182.07,131.14
07:56:40,4912908,102,20.76,88.645,122.77
08:13:20,9782763,586,59.90,95.191,147.11
08:30:00,6658920,131,19.67,101.95,125.42
08:46:40,14583540,203,13.91,159.20,167.29
09:03:20,27135805,341,12.56,157.16,199.35
09:20:00,23286386,110,4.723,120.57,200.27
09:36:40,26434426,79,2.988,154.50,278.49
09:53:20,65739784,141,2.144,95.871,242.89
10:10:00,25678873,375,14.60,108.38,139.42
10:26:40,5325917,95,17.83,159.71,133.32
10:43:20,79776485,1206,15.11,138.53,357.12
11:00:00,222533118,3155,14.17,131.11,474.92
11:16:40,20481096,790,38.57,263.93,379.63
11:33:20,24921600,1203,48.27,168.87,204.78
11:50:00,14649444,475,32.42,159.93,201.52
12:06:40,14701536,263,17.88,190.14,253.38
12:23:20,21509861,201,9.344,179.35,194.61
12:40:00,9949615,343,34.47,157.16,208.48
12:56:40,6569046,251,38.20,150.12,194.09
13:13:20,29807427,822,27.57,153.10,211.10
13:30:00,34150019,341,9.985,172.78,127.06
13:46:40,13895166,219,15.76,142.79,194.81
14:03:20,18089073,89,4.920,168.11,289.45
14:20:00,11644418,787,67.58,178.83,228.81
14:36:40,20860788,382,18.31,135.92,151.28
14:53:20,31493884,674,21.40,130.69,213.96
15:10:00,21554304,522,24.21,143.15,146.42
15:26:40,21297111,270,12.67,148.91,206.92
15:43:20,24630724,706,28.66,160.94,168.42
16:00:00,12930990,280,21.65,139.29,260.23
16:16:40,16097478,564,35.03,173.35,352.05
16:33:20,15586339,745,47.79,146.98,283.69
16:50:00,15393245,874,56.77,146.74,301.69
17:06:40,141090416,765,5.422,182.21,320.12
17:23:20,19517874,158,8.095,123.50,265.49
17:40:00,17587312,713,40.54,144.98,310.09
17:56:40,48526683,2511,51.74,183.68,288.10
18:13:20,22441304,560,24.95,149.14,277.90
18:30:00,25280607,1669,66.01,164.79,236.29
18:46:40,30172109,892,29.56,117.94,164.93
19:03:20,59770898,2913,48.73,159.46,241.05
19:20:00,40945209,1437,35.09,225.62,217.82
19:36:40,24768176,537,21.68,133.79,198.04
19:53:20,7647285,168,21.96,161.93,224.55
20:10:00,3678292,83,22.56,268.26,289.76
