结束时间,流量,Tcp重连次数,Tcp质量,"Tcp延迟 ",Http延迟
00:10:00,179222500,1371,7.649,129.10,426.59
00:26:40,388000982,3255,8.389,105.61,400.81
00:43:20,169481261,8870,52.33,127.97,174.33
01:00:00,313466475,6805,21.70,77.326,198.22
01:16:40,373120965,1605,4.301,86.840,157.42
01:33:20,173102360,4310,24.89,84.037,133.77
01:50:00,144383947,1562,10.81,92.949,139.85
02:06:40,207329113,1763,8.503,113.43,186.69
02:23:20,179038910,1415,7.903,85.819,171.89
02:40:00,125837701,2154,17.11,75.318,266.36
02:56:40,184616844,1743,9.441,120.44,531.75
03:13:20,308694767,3343,10.82,123.03,1339.4
03:30:00,20765718,737,35.49,112.40,149.66
03:46:40,16598099,625,37.65,100.80,161.91
04:03:20,15253929,941,61.68,158.38,159.06
04:20:00,6099300,66,10.82,119.54,172.47
04:36:40,5799010,93,16.03,70.537,124.71
04:53:20,2997140,90,30.02,225.47,391.08
05:10:00,2787950,33,11.83,164.25,105.59
05:26:40,674818,66,97.80,84.526,109.51
05:43:20,919004,72,78.34,80.046,114.64
06:00:00,832494,84,100.9,139,177.95
06:16:40,6380831,274,42.94,142.85,262.86
06:33:20,3324676,90,27.07,158.70,116.35
06:50:00,6076799,210,34.55,97.377,158.27
07:06:40,6602485,153,23.17,108.82,157.72
07:23:20,15042312,482,32.04,96.774,174.49
07:40:00,24035017,230,9.569,96.680,131.23
07:56:40,26285753,540,20.54,105.01,164.33
08:13:20,26490232,544,20.53,141.28,198.68
08:30:00,38874933,207,5.324,117.61,195.13
08:46:40,18888529,270,14.29,153.70,251.33
09:03:20,18893674,444,23.49,155.41,259.62
09:20:00,15348332,281,18.30,175.68,257.66
09:36:40,22416856,719,32.07,122.94,183.93
09:53:20,20669398,986,47.70,134.08,246.01
10:10:00,24796827,387,15.60,137.23,248.92
10:26:40,22432788,596,26.56,140.52,256.31
10:43:20,12959161,255,19.67,120.76,202.97
11:00:00,25844185,747,28.90,139.32,199.61
11:16:40,63324614,1812,28.61,107.53,153.73
11:33:20,70692090,2792,39.49,107.46,157.54
11:50:00,56777304,3943,69.44,148.96,202.77
12:06:40,81047160,3573,44.08,119.59,179.80
12:23:20,105345594,1085,10.29,142.78,202.21
12:40:00,53404834,2166,40.55,131.95,206.44
12:56:40,79474212,8450,106.3,143.72,213.25
13:13:20,41613372,2341,56.25,138.23,203.24
13:30:00,32696974,499,15.26,246.76,425.98
13:46:40,33028163,581,17.59,112.29,157.34
14:03:20,43142868,569,13.18,96.716,167.04
14:20:00,46915361,554,11.80,98.812,161.51
14:36:40,35391508,675,19.07,123.93,196.07
14:53:20,32014266,658,20.55,154.11,249.46
15:10:00,46773103,1205,25.76,130.55,195.30
15:26:40,12977119,582,44.84,124.10,196.42
15:43:20,27259208,620,22.74,85.885,123.79
16:00:00,26389082,664,25.16,108.66,148.42
16:16:40,37959999,1378,36.30,144.30,250.30
16:33:20,36213422,885,24.43,89.605,133.38
16:50:00,19744915,405,20.51,117.03,163.85
17:06:40,24410059,799,32.73,112.14,168.13
17:23:20,28568599,1121,39.23,128.27,193.85
17:40:00,49049315,2186,44.56,151.90,245.47
17:56:40,36933398,1064,28.80,102.93,116.39
18:13:20,42863992,1792,41.80,123.19,207.11
18:30:00,64177798,2202,34.31,121.01,180.87
18:46:40,58920323,1004,17.03,129.32,209.76
19:03:20,35294612,1240,35.13,130.57,216.85
19:20:00,43899804,765,17.42,98.196,154.15
19:36:40,142775663,2459,17.22,229.50,461.44
19:53:20,181891218,850,4.673,122.56,370.43
20:10:00,24096074,297,12.32,147.67,244.03
00:03:20,151370,7,46.24,56,101.42
